Ftherm_star	Ftherm_planet	Frefl_planet	
PPopPhotometry.Star.Blackbody	PPopPhotometry.Planet.Thermal	PPopPhotometry.Planet.Reflected	
3052985.419431335758	00020.470741862605	00000.005879039769	
3052985.419431335758	00005.946449894188	00000.000612567608	
3052985.419431335758	00000.716733166121	00000.000208482498	
3052985.419431335758	00638.670935357335	00000.000960699225	
3052985.419431335758	00021.107824617008	00000.003624874556	
3052985.419431335758	00000.779837752517	00000.000060764721	
3052985.419431335758	00147.001625941728	00000.050599237733	
3052985.419431335758	00000.673488535174	00000.000034085858	
3052985.419431335758	00000.715079567324	00000.000066967040	
2701712.781318913214	00027.837263509984	00000.018233624412	
2701712.781318913214	00017.779730461861	00000.000889931357	
2701712.781318913214	00000.769344198138	00000.000123990369	
2701712.781318913214	00000.794397905725	00000.000743595259	
2701712.781318913214	00000.966629852501	00000.002278918364	
2701712.781318913214	00023.216529555724	00000.000930364277	
2701712.781318913214	00017.209931193298	00000.022522312921	
2701712.781318913214	00001.265460663870	00000.000199687404	
2701712.781318913214	00030.286082958831	00000.012536002543	
2701712.781318913214	00000.059500547207	00000.000057136221	
2701712.781318913214	00033.462347477642	00000.003735591663	
2701712.781318913214	00079.706778398931	00000.009613848754	
2701712.781318913214	00029.325401727889	00000.005125088151	
2701712.781318913214	00003.532170029961	00000.004804481276	
2701712.781318913214	00000.536450201028	00000.000579606410	
2701712.781318913214	00023.510125304026	00000.003130470574	
2701712.781318913214	00008.391140491956	00000.000058762086	
2701712.781318913214	00269.340120394119	00000.401379653193	
2701712.781318913214	00167.581205621306	00004.684060917502	
2701712.781318913214	00000.589992795712	00000.000012280280	
2701712.781318913214	00001.837948561470	00000.000116841262	
2701712.781318913214	00005.032053189957	00000.003586891343	
2701712.781318913214	00003.726475016857	00000.002194997481	
2701712.781318913214	00001.820116784667	00000.000418696721	
826302.657645194791	00001.015671154956	00000.000091513459	
826302.657645194791	00005.016449813078	00000.011572669910	
826302.657645194791	00013.600754463046	00000.005863324376	
826302.657645194791	00001.749970528988	00000.000368142492	
826302.657645194791	00000.720129080008	00000.000004907433	
826302.657645194791	00004.779160485167	00000.000225691393	
826302.657645194791	00000.220881038196	00000.000016906008	
