nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	SName	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	SName	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	
0	6.89215	130.72391	24.39857	0.00000	2.37712	0.00923	3.96498	4.97749	0.70517	0.44122	0.07072	0.98575	0.54306	0.54306	0.03156	0.03332	9.12987	0.17434	356.50368	11	* ksi Peg	1.36000	1.25000	6340.00000	16.29726	F	341.67325	12.17288	81.27500	-40.39897	
0	1.35340	123.22280	2.06734	0.00000	2.80743	0.97506	4.83322	2.57925	0.23761	0.39618	0.08130	6.61881	0.30933	0.30933	0.01807	0.01892	0.08896	0.18415	142.03543	12	* ksi Peg B	0.29100	0.26000	3250.00000	16.34738	M	341.67643	12.17253	81.27796	-40.40112	
0	0.54934	392.31618	0.05260	0.00000	2.80743	2.60202	5.62068	6.05827	0.18766	0.50781	0.05312	6.61881	0.66945	0.66945	0.03961	0.04095	0.01899	0.45582	98.09283	12	* ksi Peg B	0.29100	0.26000	3250.00000	16.34738	M	341.67643	12.17253	81.27796	-40.40112	
1	0.77466	15.87723	0.30667	0.00000	1.68481	5.57737	2.87194	3.71296	0.47555	0.16641	0.07899	1.20773	0.07891	0.07891	0.00461	0.00483	1.36693	0.18467	256.10353	12	* ksi Peg B	0.29100	0.26000	3250.00000	16.34738	M	341.67643	12.17253	81.27796	-40.40112	
1	0.69132	29.10924	0.28817	0.00000	1.68481	0.29421	2.47460	4.48289	0.09177	0.17088	0.03310	1.20773	0.11821	0.11821	0.00567	0.00723	0.60917	0.07164	240.04208	12	* ksi Peg B	0.29100	0.26000	3250.00000	16.34738	M	341.67643	12.17253	81.27796	-40.40112	
1	0.76314	122.47699	0.40159	0.00000	1.68481	3.66632	4.11913	5.53680	0.75917	0.08387	0.03584	1.20773	0.30808	0.30808	0.01835	0.01885	0.08968	0.44040	106.69807	12	* ksi Peg B	0.29100	0.26000	3250.00000	16.34738	M	341.67643	12.17253	81.27796	-40.40112	
1	1.18814	333.87985	1.48349	0.00000	1.68481	0.33900	4.95009	1.71507	0.31328	0.51814	0.01778	1.20773	0.60120	0.60120	0.03416	0.03678	0.02355	0.15523	99.25374	12	* ksi Peg B	0.29100	0.26000	3250.00000	16.34738	M	341.67643	12.17253	81.27796	-40.40112	
0	1.23286	3.50582	1.51458	0.00000	2.22690	3.78576	0.70732	6.24564	0.06333	0.01969	0.09083	2.03053	0.04813	0.04813	0.00288	0.00331	996.53183	0.11170	1538.41576	13	* tet Boo	1.30000	1.21000	6240.00000	14.53066	F	216.29915	51.85074	93.83210	59.65260	
0	2.91183	57.30593	9.39715	0.00000	2.22690	3.10901	4.60422	0.26394	0.02243	0.33976	0.04762	2.03053	0.31000	0.31000	0.01328	0.02133	24.02215	0.81351	612.69432	13	* tet Boo	1.30000	1.21000	6240.00000	14.53066	F	216.29915	51.85074	93.83210	59.65260	
0	0.85358	329.47643	0.30667	0.00000	2.22690	0.64228	0.78365	4.21588	0.06541	0.25798	0.09207	2.03053	0.99491	0.99491	0.04451	0.06847	2.33227	0.79567	338.18486	13	* tet Boo	1.30000	1.21000	6240.00000	14.53066	F	216.29915	51.85074	93.83210	59.65260	
