# %ECSV 0.9,,,,,,,,,,,,
# ---,,,,,,,,,,,,
# datatype:,,,,,,,,,,,,
# - name: sim_ra,,,,,,,,,,,,
#   unit: deg,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Right ascension,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.eq.ra;meta.main},,,,,,,,,,,,
# - name: sim_dec,,,,,,,,,,,,
#   unit: deg,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Declination,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.eq.dec;meta.main},,,,,,,,,,,,
# - name: sim_plx,,,,,,,,,,,,
#   unit: mas,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Parallax,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.parallax.trig},,,,,,,,,,,,
# - name: distance,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.parallax.trig},,,,,,,,,,,,
# - {name: sim_name, datatype: string},,,,,,,,,,,
# - {name: sim_sptype, datatype: string},,,,,,,,,,,
# - {name: gal_coord_l, unit: deg, datatype: float64},,,,,,,,,,
# - {name: gal_coord_b, unit: deg, datatype: float64},,,,,,,,,,
# - {name: mod_Teff, unit: K, datatype: float64},,,,,,,,,,
# - {name: mod_R, unit: solRad, datatype: float64},,,,,,,,,,
# - {name: mod_M, unit: solMass, datatype: float64},,,,,,,,,,
# - {name: sep_phys, unit: AU, datatype: float64},,,,,,,,,,
# - {name: binary_flag, datatype: bool},,,,,,,,,,,
# delimiter: ',',,,,,,,,,,,
# meta: !!omap,,,,,,,,,,,,
# - {ID: result_1591693106145},,,,,,,,,,,,
# - {name: result_1591693106145},,,,,,,,,,,,
# schema: astropy-2.0,,,,,,,,,,,,
sim_ra,sim_dec,sim_plx,distance,sim_name,sim_sptype,gal_coord_l,gal_coord_b,mod_Teff,mod_R,mod_M,sep_phys,binary_flag
138.6028461,52.68636281,157.8851,6.333719901,HD  79211,M0V,164.9346184,42.67227503,3800,0.535,0.54,107.7,TRUE
143.182331,26.98853006,55.3165,18.07778872,HD  82443,G9V(k),201.210652,46.06432296,5340,0.876,0.9,1175.1,TRUE
143.2010094,26.99549328,55.2591,18.0965669,HD  82443B,M5.5V,201.2058464,46.08205396,3000,0.149,0.12,1176.3,TRUE
167.7715497,30.44601804,84.0803,11.89339239,HD  97101,K7V,198.3695434,67.81033621,4070,0.654,0.63,405.6,TRUE
167.7605732,30.44481032,84.1971,11.87689362,HD  97101B,M2V,198.3737525,67.80092988,3500,0.393,0.4,405,TRUE
170.361081,-20.45383069,76.4165,13.08617903,HD  98712A,K7V,275.9998746,37.66669585,4070,0.654,0.63,49.7,TRUE
170.3607845,-20.45260938,76.3549,13.09673642,HD  98712B,M2.5Ve,275.9988939,37.6676788,3500,0.393,0.4,49.8,TRUE
171.168276,-61.64758663,82.5253,12.11749609,HD  99279A,K5-V,292.8224813,-0.490691545,4330,0.672,0.66,48.5,TRUE
171.1644537,-61.64840732,85.5929,11.68321204,HD  99279B,K7-V(k),292.8210372,-0.492063703,4070,0.654,0.63,46.7,TRUE
192.0446071,-24.80660212,53.376,18.73501199,HD 111261,K4V,301.9924861,38.05919989,4540,0.737,0.71,224.8,TRUE
192.0416186,-24.80461894,53.3789,18.73399414,HD 111261B,K7Vk:,301.9890006,38.06113911,4070,0.654,0.63,224.8,TRUE
200.9131407,2.723327315,60.2511,16.59720735,HD 116442,G9V,321.833963,64.40634398,5340,0.876,0.9,424.9,TRUE
200.9201881,2.725274477,60.3373,16.573496,HD 116443,K2V,321.8508658,64.40617547,4990,0.742,0.76,424.3,TRUE
206.9256736,-32.43003532,68.4515,14.60888366,HD 120036A,K6V,316.4909697,28.95597958,4190,0.656,0.64,118.3,TRUE
206.9285239,-32.43085236,68.6146,14.57415769,HD 120036B,K7V,316.493403,28.95459312,4070,0.654,0.63,118.1,TRUE
